ID,post_title,post_excerpt,post_status,post_date,post_author,discount_type,coupon_amount,individual_use,product_ids,product_SKUs,exclude_product_ids,exclude_product_SKUs,usage_count,usage_limit,usage_limit_per_user,limit_usage_to_x_items,date_expires,free_shipping,exclude_sale_items,product_categories,exclude_product_categories,minimum_amount,maximum_amount,customer_email
36234,ccell2020,,publish,"2019-02-22 17:29:25",5665,percent,10,yes,,,,,707,0,1,0,2020-11-09,no,no,,,,150,
36751,march19,,publish,"2019-03-07 17:15:56",5739,percent,15,yes,,,,,10,0,1,0,2019-03-09,no,no,,,,150.00,
37107,CLOAK15,,publish,"2019-03-15 16:45:54",5739,percent,15,yes,,,,,14,0,1,0,2019-03-18,no,no,,,,150,
37213,Welcome15,,publish,"2019-03-18 09:59:36",5739,percent,15,yes,,,,,42,0,1,0,2019-04-07,no,no,,,,150,
37875,welcome2020,,publish,"2019-04-06 19:31:19",5739,percent,10,yes,,,,,2026,0,1,0,2021-01-21,no,no,,,,150,
38416,420special,,publish,"2019-04-19 09:49:46",5673,percent,20,yes,,,,,33,0,1,0,2019-04-21,no,yes,,,,200,
38764,Weekend15,,publish,"2019-04-26 11:42:12",5820,percent,15,yes,,,,,4,0,1,0,2019-04-28,no,no,,,,150,
39678,TAKE15,,publish,"2019-05-16 08:31:46",5820,percent,15,yes,,,,,8,0,1,0,2019-05-20,no,no,,,,150,
39898,MEMORIAL20,,publish,"2019-05-22 10:00:05",5820,percent,20,yes,,,,,79,0,1,0,2019-05-27,no,no,,,,150,
40525,Rainbow15,,publish,"2019-06-07 11:45:01",5820,percent,15,yes,,,,,0,0,1,0,2019-06-09,no,no,,,,150,
41202,BIGMIAMI,,publish,"2019-06-19 11:32:33",5665,percent,10,yes,,,,,0,0,1,0,2019-08-26,no,no,,,,150,
41443,4JULY,,publish,"2019-06-27 16:45:29",5665,percent,15,yes,,,,,46,0,1,0,2019-07-05,no,no,,,,150,
42655,summer19,,publish,"2019-08-06 08:03:58",5665,percent,20,yes,,,,,24,0,0,0,2019-08-14,no,no,"CCELL® M3",,,150,
43092,KIT20,,publish,"2019-08-19 03:50:08",5665,percent,20,yes,,,,,0,0,1,0,2019-08-24,no,no,Kits,,,150,
43339,LABOR19,,publish,"2019-08-26 20:22:00",5665,percent,15,yes,,,,,86,0,1,0,2019-09-03,no,no,,,,150,
43456,giveawaysunflower,,publish,"2019-08-29 12:48:45",5665,fixed_cart,100.00,yes,,,,,1,1,1,0,2019-09-04,no,no,,,,,
44611,"HIGH PROMO",,publish,"2019-09-10 04:37:57",5665,percent,15,yes,,,,,25,0,1,0,2019-09-30,no,no,,,,150,
44613,HIGHPROMO,,publish,"2019-09-10 04:39:38",5665,percent,15,yes,,,,,28,0,1,0,2019-09-30,no,no,,,,150,
48662,oct15,"October 10 Flash Sale",publish,"2019-10-09 15:10:06",5673,percent,15,yes,,,,,34,0,1,0,2019-10-14,no,no,,,,,
49748,MM20,"Monday Madness",publish,"2019-10-18 09:46:03",5673,percent,20,yes,,,,,25,0,1,0,2019-10-22,no,no,,,,150,
50648,spooky15,"Halloween coupon for email users",publish,"2019-10-25 07:06:56",5673,percent,15,yes,,,,,39,0,1,0,2019-11-02,no,no,,,,0,
50977,ghost15,"Halloween coupon for text recipients",publish,"2019-10-28 13:00:59",5673,percent,15,yes,,,,,7,0,1,0,2019-11-02,no,no,,,,0,
51767,TestOne,,publish,"2019-11-03 14:21:02",5673,percent,5,yes,,,,,0,0,0,0,2020-06-23,no,no,,,,,
51994,NF15,"November Flash - 15% off",publish,"2019-11-05 07:08:01",5673,percent,15,yes,,,,,24,0,1,0,2019-11-07,no,no,,,,,
51995,NFT15,"November Flash  - Text - 15% off",publish,"2019-11-05 07:08:59",5673,percent,15,yes,,,,,3,0,1,0,2019-11-07,no,no,,,,,
53407,chronicalewinsky15,"Coupon code for @chronicalewinsky (added Ilumi launch)",publish,"2019-11-16 10:24:01",5673,percent,15,yes,,,,,110,0,0,0,2020-04-20,no,no,,,,,
53605,ShineOn,"Ilumi Launch - text campaign (Correct Answer) Expires 11/23",publish,"2019-11-18 11:13:05",5673,percent,25,yes,54031|54032|54033|54034|54068|53992|54013|54019|54025,,,,0,0,0,0,2019-11-25,no,no,,,,150,
53855,GoodGuess,"Ilumi Launch - text campaign (Incorrect Answer) Expires 11/23",publish,"2019-11-19 08:02:22",5673,percent,15,yes,,,,,1,0,0,0,2019-11-23,no,no,,,,150,
54106,IlumiShine,"Ilumi Launch - Email Campaign -  Expires 11/23",publish,"2019-11-20 08:51:11",5673,percent,15,yes,54031|54032|54033|54034|54068|53992|54013|54019|54025,,,,1,0,0,0,2019-11-23,no,no,,,,,
54107,ShineInsta,"Ilumi Launch - Instagram Campaign - Expires 11/21",publish,"2019-11-20 09:07:35",5673,percent,15,yes,54031|54032|54033|54034|54068|53992|54013|54019|54025,,,,1,0,0,0,2019-11-22,no,no,,,,,
54137,TryIlumi,"Ilumi Launch - text campaign (No Answer) Expires 11/23",publish,"2019-11-20 11:45:37",5673,percent,10,yes,54031|54032|54033|54034|54068|53992|54013|54019|54025,,,,1,0,0,0,2019-11-23,no,no,,,,150,
55312,BF20,"Black Friday Code on Website, Email, Text",publish,"2019-11-27 10:16:21",5673,percent,20,yes,,,,,132,0,0,0,2019-12-03,no,no,,,,150,
55730,smokesmall,"Small Business Saturday - Wholesalers code",publish,"2019-11-29 14:46:23",5673,percent,15,yes,,,,,0,0,0,0,2019-12-01,no,no,,,300,,
56822,MJBIZTXT,"Welcome text sequence for MJBizcon - 15% off w/ $150 cap",publish,"2019-12-05 08:12:15",5673,percent,15,yes,,,,,0,0,0,0,2019-12-17,yes,no,,,,150,
58430,HOLIDAYRUSH,"5% off - Last Day for Xmas Shipping (Text) 12/17",publish,"2019-12-17 08:36:54",5673,fixed_cart,5,yes,,,,,6,0,0,0,2019-12-19,no,no,,,,,
58609,HOLIDAYHIGH,"15% off - Last day to order - Email (12/18)",publish,"2019-12-18 08:06:26",5673,percent,15,yes,,,,,8,0,0,0,2019-12-19,no,no,,,,,
58622,HOLIDAZE,"10% off - Last day for Xmas shipping - Insta (12/18)",publish,"2019-12-18 09:03:49",5673,percent,10,yes,,,,,2,0,0,0,2019-12-19,no,no,,,,,
60421,NYE15,"15% off - Instagram Code for Gold Bar Launch/NY",publish,"2020-01-01 10:14:06",5665,percent,15,yes,,,,,1,0,0,0,2020-01-08,no,no,,,,,
60523,NEWYEAR,"15% off - Email Code for Gold Bar 01/02/2020",publish,"2020-01-02 06:45:15",5673,percent,15,yes,,,,,64,0,0,0,2020-01-13,no,no,,,,,
60524,24k,"15% off - Text code for Gold Bar",publish,"2020-01-02 06:51:30",5673,percent,15,yes,,,,,16,0,0,0,2020-01-13,no,no,,,,,
61766,ccell10,,publish,"2020-01-08 12:44:34",5665,percent,10,yes,,,,,424,0,1,0,2020-06-14,no,no,,,,150,
63577,MLK20,"MLK Day/M3B Launch ",publish,"2020-01-20 10:21:10",5665,percent,20,yes,,,,,18,0,1,0,2020-01-22,no,no,,,,,
67711,LOVE,"Email VDay Red Device Sale 2020",publish,"2020-02-14 00:01:35",5665,percent,15,yes,40960|64260|38286,SB-RD|UB-RD,,,1,0,1,0,2020-02-15,no,no,,,,,
67782,ROSE,"Insta VDay Red Device Sale 2020",publish,"2020-02-14 00:01:17",5665,percent,15,yes,40960|64260|38286,SB-RD|UB-RD,,,0,0,1,0,2020-02-15,no,no,,,,,
68660,PRESIDENTS20,,publish,"2020-02-19 09:55:29",5665,percent,20,yes,,,,,1,0,1,0,2020-02-21,no,no,,,,1000,
68661,POSTPRESFLASH,,publish,"2020-02-19 09:56:13",5665,percent,20,yes,,,,,3,0,1,0,2020-02-20,no,no,,,,1000,
68937,hamilton20,,publish,"2020-02-20 12:15:00",5665,percent,20,yes,,,,,14,0,0,0,2020-02-22,no,no,,,,1000,
72096,HELLOHAMILTON,,publish,"2020-03-09 22:55:24",5665,percent,20,yes,,,,,1,0,1,0,2020-11-10,no,no,,,,,
72418,HAMILTON10,,publish,"2020-03-11 17:49:47",5665,percent,10,yes,,,,,4067,0,1,0,,no,no,,,,150,
73085,GOLD20,,publish,"2020-03-16 15:30:48",5665,percent,20,yes,60257,GB-GD,,,1,0,1,0,2020-03-18,no,no,,,,,
73154,CUBE20,,publish,"2020-03-16 23:34:09",5665,percent,20,yes,71048,CU,,,12,0,1,0,2020-03-27,no,no,,,,,
73176,Lucky20,,publish,"2020-03-17 05:31:39",5665,percent,20,yes,60257,GB-GD,,,0,0,1,0,2020-03-18,no,no,,,,,
73177,STPATTYS,,publish,"2020-03-17 05:35:05",5665,percent,20,yes,60257,GB-GD,,,0,0,1,0,2020-03-18,no,no,,,,,
73625,NEWCUBE,,publish,"2020-03-19 10:24:52",5665,percent,20,yes,71048,CU,,,0,0,1,0,2020-03-27,no,no,,,,,
74600,GOTTACATCHEM,,publish,"2020-03-25 06:05:21",5665,percent,20,yes,,,,,3,0,1,0,2020-11-16,no,no,,,,,
77425,EASTER15,,publish,"2020-04-12 08:00:06",5665,percent,15,yes,,,,,72,0,1,0,2020-04-15,no,no,,,,,
78715,4204U,,publish,"2020-04-20 08:00:19",5665,percent,20,yes,,,,,23,0,1,0,2020-04-23,no,no,,,,,
79136,4202DAY,,publish,"2020-04-20 08:00:34",5665,percent,20,yes,,,,,77,0,1,0,2020-04-23,no,no,,,,,
81214,SCA15,,publish,"2020-04-28 14:02:34",5665,percent,15,yes,,,,,0,0,1,0,2020-04-29,no,no,,,,,
82833,fiesta15,,publish,"2020-05-05 08:00:01",5665,percent,15,yes,,,,,35,0,1,0,2020-05-06,no,no,,,,,
82834,cinco15,,publish,"2020-05-05 08:00:06",5665,percent,15,yes,,,,,14,0,1,0,2020-05-06,no,no,,,,,
83327,SLYNGCCELL,,publish,"2020-05-06 15:07:05",5665,percent,10,yes,,,,,737,0,1,0,2020-11-22,no,no,,,,150,
83852,TKSMOM,,publish,"2020-05-10 08:00:54",5665,percent,15,yes,,,,,24,0,1,0,2020-05-12,no,no,,,,,
84059,MOM15,,publish,"2020-05-10 08:00:55",5665,percent,15,yes,,,,,2,0,1,0,2020-05-12,no,no,,,,,
87163,MEMORIAL15,,publish,"2020-05-25 08:00:49",5665,percent,15,yes,,,,,55,0,1,0,2020-05-27,no,no,,,,,
87166,HAPPYMD,,publish,"2020-05-25 08:00:47",5665,percent,15,yes,,,,,14,0,1,0,2020-05-27,no,no,,,,,
90716,KR115,,publish,"2020-06-10 08:00:52",5665,percent,15,yes,,,,,53,0,1,0,2020-06-13,yes,no,,,,,
90749,NEWHEAT15,,publish,"2020-06-10 08:00:14",5665,percent,15,yes,,,,,27,0,1,0,2020-06-13,yes,no,,,,,
92013,FLAG15,,publish,"2020-06-14 08:00:22",5665,percent,50,yes,75663|75664|75662,CB-BL|CB-RD|CB-WT,,,1,0,1,0,2020-06-15,no,no,,,,,
92015,FLAGDAY,,publish,"2020-06-14 08:00:42",5665,percent,50,yes,75663|75664|75662,CB-BL|CB-RD|CB-WT,,,16,0,1,0,2020-06-15,no,no,,,,,
92019,FD15,,publish,"2020-06-14 08:00:40",5665,percent,50,yes,75663|75664|75662,CB-BL|CB-RD|CB-WT,,,1,0,1,0,2020-06-15,no,no,,,,,
93256,SUMMER15,,publish,"2020-06-20 08:00:11",5665,percent,15,yes,,,,,6,0,1,0,2020-06-21,no,no,,,,,
93257,SUMMERSHERE,,publish,"2020-06-20 08:00:57",5665,percent,15,yes,,,,,11,0,1,0,2020-06-21,no,no,,,,,
93258,TKSDAD,,publish,"2020-06-21 08:00:51",5665,percent,20,yes,,,,,69,0,1,0,2020-06-23,no,no,,,,,
93259,DAD20,,publish,"2020-06-21 08:00:55",5665,percent,20,yes,,,,,17,0,1,0,2020-06-23,no,no,,,,,
93260,FATHERSDAY,,publish,"2020-06-21 08:00:36",5665,percent,20,yes,,,,,28,0,1,0,2020-06-23,no,no,,,,,
96317,11KGIVEAWAY,,publish,"2020-07-01 08:00:56",5665,percent,15,yes,,,,,12,0,1,0,2020-07-03,no,no,,,,,
96471,HIGHTIMES2020,,publish,"2020-07-02 11:00:46",5665,percent,15,yes,,,,,17,0,1,0,2020-07-06,no,no,,,,,
97358,HAPPY4TH,,publish,"2020-07-04 08:00:27",5665,percent,20,yes,,,,,122,0,1,0,2020-07-08,no,no,,,,,
97361,JULY4TH,,publish,"2020-07-04 08:00:23",5665,percent,20,yes,,,,,20,0,1,0,2020-07-08,no,no,,,,,
98295,USACBD15,,publish,"2020-07-21 08:00:57",5665,percent,15,yes,,,,,23,0,1,0,2020-07-25,no,no,,,,,
99435,OIL,,publish,"2020-07-10 07:58:04",5665,percent,20,yes,,,89145|89153,KR1-BG|PS1-BC,18,0,1,0,2020-07-14,no,no,,,,,
99436,HAPPY710,,publish,"2020-07-10 07:58:11",5665,percent,20,yes,,,89145|89153,KR1-BG|PS1-BC,20,0,1,0,2020-07-14,no,no,,,,,
101503,TAXDAY,,publish,"2020-07-15 08:00:40",5665,percent,15,yes,,,,,21,0,1,0,2020-07-17,no,no,,,,,
101504,TAXDAY15,,publish,"2020-07-15 08:00:28",5665,percent,15,yes,,,,,4,0,1,0,2020-07-17,no,no,,,,,
101506,TAX15,,publish,"2020-07-15 08:00:04",5665,percent,15,yes,,,,,12,0,1,0,2020-07-17,no,no,,,,,
102442,FENIX20,,publish,"2020-07-17 13:37:30",5665,percent,20,yes,,,,,2,0,1,0,2020-07-20,no,no,,,,,
105891,BUBBLERS,,publish,"2020-07-30 12:29:14",5665,percent,15,yes,,,,,8,0,1,0,2020-08-03,no,yes,,,,,
105892,BUBBLER15,,publish,"2020-07-30 12:29:45",5665,percent,15,yes,,,,,17,0,1,0,2020-08-03,no,yes,,,,,
106814,GIVEAWAYAUG15,,publish,"2020-08-10 12:20:45",5665,percent,15,yes,,,,,21,0,1,0,2020-09-01,no,no,,,,,
107495,PB120,,publish,"2020-08-19 08:00:44",5665,percent,20,yes,103862,PB1-BK,,,30,0,1,0,2020-08-24,no,no,,,,,
107496,NEW20,,publish,"2020-08-19 08:00:54",5665,percent,20,yes,103862,PB1-BK,,,7,0,1,0,2020-08-24,no,no,,,,,
107497,PIPE20,,publish,"2020-08-19 08:00:45",5665,percent,20,yes,103862,PB1-BK,,,4,0,1,0,2020-08-24,no,no,,,,,
108684,LABOR20,,publish,"2020-09-03 08:00:39",5665,percent,20,yes,,,,,345,0,1,0,2020-09-09,no,no,,,,,
108685,LBD20,,publish,"2020-09-03 08:00:52",5665,percent,20,yes,,,,,24,0,1,0,2020-09-09,no,no,,,,,
109591,PD25,,publish,"2020-09-11 08:00:08",5665,percent,25,yes,103862,PB1-BK,,,9,0,1,0,2020-09-14,no,no,,,,,
109593,PATRIOT25,,publish,"2020-09-11 08:00:21",5665,percent,25,yes,103862,PB1-BK,,,1,0,1,0,2020-09-14,no,no,,,,,
110300,EQUINOX20,,publish,"2020-09-22 08:00:42",5665,percent,20,yes,,,,,32,0,1,0,2020-09-28,no,no,,,,,
110302,EQUINOX2020,,publish,"2020-09-22 07:50:17",5665,percent,20,yes,,,,,6,0,1,0,2020-09-28,no,no,,,,,
112105,SHIV,,publish,"2020-10-15 08:00:53",5665,percent,15,yes,,,,,119,0,1,0,2020-10-19,no,no,,,,,
112107,SHIV15,,publish,"2020-10-15 07:58:41",5665,percent,15,yes,,,,,11,0,1,0,2020-10-19,no,no,,,,,
112108,THESHIV,,publish,"2020-10-15 07:50:59",5665,percent,15,yes,,,,,8,0,1,0,2020-10-19,no,no,,,,,
112637,DAYPIPE15,,publish,"2020-10-21 07:55:18",5665,percent,15,yes,,,,,5,0,1,0,2020-10-26,no,no,,,,,
112639,NEW15,,publish,"2020-10-21 08:00:59",5665,percent,15,yes,,,,,6,0,1,0,2020-10-26,no,no,,,,,
113487,HALLOWEEN20,,publish,"2020-10-31 07:55:31",5665,percent,20,yes,,,,,6,0,1,0,2020-11-03,no,no,,,,,
